Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,level,cell_type,comparison,gene_set_library
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.6582679077415241,2.388292834276595,0.001,0.001,0.001,40/75,13.65%,MRPS33;CHCHD1;MRPL17;TUFM;MRPL55;MRPL57;MRPS16;MRPS27;MRPL47;MRPL36;GADD45GIP1;OXA1L;MRPL34;MRPL21;MRPS21;MRPS18A;MRPL51;MRPL9;MRPS7;MRPL10;MRPS18C;MRPL43;MRPL24;MRPL41;MRPS34;MRPS26;MRPL33;MRPS2;MRPL15;MRPL54;MRPL52;AURKAIP1;MRPL4;MRPL42;MRPS23;MRPL20;MRPL16;TSFM;MRPL49;MRPL11,glia_subtypes,Glia_Micro,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Termination R-HSA-5419276,0.6603125873625705,2.353865712059717,0.001,0.001,0.001,46/73,17.56%,MRPS23;MRPS10;MRPL35;MRPS34;MRPL51;MRPS26;MRPS7;MRPL44;MRPS16;MRPL49;MRPL34;MRPL50;MRPL40;MRPL18;MRPS36;MRPL55;MRPL24;MRPL10;AURKAIP1;ERAL1;MRPS35;MRPL4;MRPS33;MRPS21;MRPL3;MRPL57;MRPL19;MRPL17;MRPL16;CHCHD1;MRPL42;MRPL20;MRPL32;GADD45GIP1;MRPL9;MRPS15;MRPS2;MRPL48;MRPS14;MRPL41;MRPS30;MRPL58;MRPL15;MRRF;MRPL21;MRPL1,excitatory_subtypes,Ex_L6_TLE4_CCBE1,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Initiation R-HSA-5368286,0.6456161242543349,2.3491654651890346,0.001,0.001,0.001,39/75,13.65%,MRPS33;CHCHD1;MRPL17;MRPL55;MRPL57;MRPS16;MRPS27;MRPL47;MRPL36;GADD45GIP1;OXA1L;MRPL34;MRPL21;MRPS21;MRPS18A;MRPL51;MRPL9;MRPS7;MRPL10;MRPS18C;MRPL43;MRPL24;MRPL41;MRPS34;MRPS26;MRPL33;MRPS2;MRPL15;MRPL54;MRPL52;MTFMT;AURKAIP1;MRPL4;MRPL42;MRPS23;MRPL20;MRPL16;MRPL49;MRPL11,glia_subtypes,Glia_Micro,c9ALS_vs_sALS,Reactome_2022
prerank,Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,0.7613165220128618,2.343383721729704,0.001,0.001,0.001,13/24,10.28%,IL1A;IL1B;C3AR1;C3;PYCARD;GSDMD;CASP1;IL18;HMOX1;TXN2;NLRP3;HSP90AB1;NFKB2,broad,Glia,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.654248061781384,2.32484345442365,0.001,0.001,0.001,46/73,17.56%,MRPS23;MRPS10;MRPL35;MRPS34;MRPL51;MRPS26;MRPS7;MRPL44;MRPS16;MRPL49;MRPL34;MRPL50;MRPL40;MRPL18;MRPS36;MRPL55;TUFM;MRPL24;MRPL10;AURKAIP1;ERAL1;MRPS35;MRPL4;MRPS33;MRPS21;MRPL3;MRPL57;MRPL19;MRPL17;MRPL16;CHCHD1;MRPL42;MRPL20;MRPL32;GADD45GIP1;MRPL9;MRPS15;MRPS2;MRPL48;MRPS14;MRPL41;MRPS30;MRPL58;MRPL15;MRPL21;MRPL1,excitatory_subtypes,Ex_L6_TLE4_CCBE1,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Initiation R-HSA-5368286,0.6466857510670199,2.303377377556132,0.001,0.001,0.001,46/73,17.56%,MRPS23;MRPS10;MRPL35;MRPS34;MRPL51;MRPS26;MRPS7;MRPL44;MRPS16;MRPL49;MRPL34;MRPL50;MRPL40;MRPL18;MRPS36;MRPL55;MRPL24;MRPL10;AURKAIP1;ERAL1;MRPS35;MRPL4;MRPS33;MRPS21;MRPL3;MRPL57;MRPL19;MRPL17;MRPL16;CHCHD1;MRPL42;MRPL20;MRPL32;GADD45GIP1;MRPL9;MTIF3;MRPS15;MRPS2;MRPL48;MRPS14;MRPL41;MRPS30;MRPL58;MRPL15;MRPL21;MRPL1,excitatory_subtypes,Ex_L6_TLE4_CCBE1,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Protein Import R-HSA-1268020,0.6672194392259364,2.303128835532652,0.001,0.001,0.001,27/58,10.21%,TIMM17B;CCNI;CHCHD5;ATP5MC1;COX17;TAFAZZIN;TIMM17A;ATP5F1B;PMPCA;DNAJC19;TOMM22;SLC25A12;VDAC1;CHCHD10;TIMM23;CS;SLC25A4;MTX2;CHCHD3;TOMM70;TOMM7;TIMM10;CHCHD2;TOMM20;TIMM22;ATP5F1A;COX19,glia_subtypes,Glia_Micro,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Protein Import R-HSA-1268020,0.6681618591896399,2.289369046552689,0.001,0.001,0.001,40/58,20.11%,SLC25A6;DNAJC19;SAMM50;ATP5F1A;TOMM20;TIMM8B;IDH3G;TIMM17A;TOMM7;ATP5MC1;COX17;CHCHD10;SLC25A13;TOMM70;CHCHD2;TIMM22;HSPA9;PMPCA;ATP5F1B;TOMM22;SLC25A4;BCS1L;TIMM17B;TIMM13;TOMM40;VDAC1;CHCHD4;TIMM23;HSPD1;COA6;CCNI;LDHD;GRPEL1;PAM16;COX19;GFER;TIMM9;TIMM50;CHCHD7;MTX2,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Elongation R-HSA-5389840,0.639384865642406,2.286885704487365,0.001,0.001,0.001,41/75,14.59%,MRPL10;MRPL9;MRPL49;GADD45GIP1;MRPL20;MRPS2;MRPL18;MRPL51;MRPS10;MRPL19;MRPS7;MRPL43;MRPS26;MRPL34;MRPS36;MRPS23;TUFM;MRPL32;MRPS34;MRPS21;MRPL4;MRPL17;MRPL44;MRPL50;MRPL16;AURKAIP1;ERAL1;MRPS33;MRPS15;MRPL36;CHCHD1;MRPS16;MRPL35;MRPL55;MRPL54;MRPL15;MRPL41;MRPL57;OXA1L;MRPS18A;MRPL47,broad,Inhibitory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation R-HSA-5368287,0.6265923226058262,2.2653066867929574,0.001,0.001,0.001,48/79,17.56%,MRPS23;MRPS10;MRPL35;MRPS34;MRPL51;MRPS26;MRPS7;MRPL44;MRPS16;MRPL49;MRPL34;MRPL50;MRPL40;MRPL18;MRPS36;MRPL55;TUFM;MRPL24;MRPL10;AURKAIP1;ERAL1;MRPS35;MRPL4;MRPS33;MRPS21;MRPL3;MRPL57;MRPL19;MRPL17;MRPL16;CHCHD1;MRPL42;MRPL20;MRPL32;GADD45GIP1;MRPL9;MTIF3;MRPS15;MRPS2;MRPL48;MRPS14;MRPL41;MRPS30;MRPL58;MRPL15;MRRF;MRPL21;MRPL1,excitatory_subtypes,Ex_L6_TLE4_CCBE1,c9ALS_vs_sALS,Reactome_2022
