cell_subtype,n_cells,gene,detected_cells,pct_detected,mean_counts_per_cell,mean_counts_among_detected
Ex.L6.TLE4_MEGF11,1651,PCP4,418,25.31798909751666,0.55574885833161,2.1950750361375317
Ex.L6.TLE4_MEGF11,1651,TLE4,1624,98.36462749848577,10.251178850457618,10.421611011148723
Glia.Astro.GFAP.neg,14239,VAT1L,401,2.816209003441253,0.02826520113936235,1.0036613441979565
Glia.Astro.GFAP.neg,14239,EYA4,349,2.4510148184563523,0.032453543572031666,1.3240859797196531
Glia.Astro.GFAP.neg,14239,THSD4,858,6.025704052250861,0.07600220259757189,1.2612999566280028
Glia.Astro.GFAP.neg,14239,POU3F1,348,2.4439918533604885,0.02554826696201767,1.0453499231958898
Glia.Astro.GFAP.neg,14239,FEZF2,444,3.118196502563382,0.03131213802920123,1.0041746247698113
Glia.Astro.GFAP.neg,14239,BCL11B,88,0.6180209284359857,0.005725094700764815,0.9263593573203434
Glia.Astro.GFAP.neg,14239,PCP4,682,4.789662195378889,0.040365146782212424,0.8427556085512062
Glia.Astro.GFAP.neg,14239,TLE4,4952,34.77772315471592,0.6097832729573979,1.7533731873264111
Glia.Micro,6697,VAT1L,57,0.8511273704643871,0.007614538238767822,0.8946414488601421
Glia.Micro,6697,EYA4,98,1.4633417948335075,0.023460987709854313,1.6032472927846364
Glia.Micro,6697,THSD4,74,1.1049723756906076,0.009577603558513443,0.8667731220454666
Glia.Micro,6697,POU3F1,12,0.1791847095714499,0.001461535304048653,0.8156584942678191
Glia.Micro,6697,FEZF2,17,0.2538450052262207,0.002192795956880852,0.863832619013592
Glia.Micro,6697,BCL11B,49,0.7316708974167537,0.008681633177399608,1.1865489263070441
Glia.Micro,6697,PCP4,177,2.6429744661788863,0.022888494192228267,0.8660126870358908
Glia.Micro,6697,TLE4,1652,24.66776168433627,0.4091920586048643,1.6588130850343683
Glia.OPC,9120,VAT1L,2328,25.526315789473685,0.4016673025908988,1.5735420101499127
Glia.OPC,9120,EYA4,129,1.4144736842105263,0.017520344326900972,1.2386475989250918
Glia.OPC,9120,THSD4,222,2.4342105263157894,0.02390822365885088,0.9821756746338741
Glia.OPC,9120,POU3F1,27,0.2960526315789474,0.002750597603104836,0.9290907459376335
Glia.OPC,9120,FEZF2,19,0.20833333333333334,0.0017132870844372289,0.8223778005298699
Glia.OPC,9120,BCL11B,829,9.089912280701755,0.1019159633469093,1.1211985352518854
Glia.OPC,9120,PCP4,426,4.671052631578947,0.0442591138262364,0.9475190565616808
Glia.OPC,9120,TLE4,5029,55.142543859649116,1.1406710028495284,2.068586109760927
Glia.Oligo,87096,VAT1L,1834,2.105722421236337,0.02295813365664293,1.0902735054301922
Glia.Oligo,87096,EYA4,14122,16.214292275190594,0.2953245021255072,1.821383857606796
Glia.Oligo,87096,THSD4,2528,2.9025443189124642,0.03030238784255115,1.0439939760818178
