baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,analysis_level,group_name,comparison
896.7746923933433,0.15743907679625813,0.20749402151985055,0.7587644002610274,0.4479935049096224,0.7659243793616125,WIPI2,broad,Excitatory_neurons,Control_vs_c9ALS
559.3823688245091,0.40406905706884216,0.3365167030039621,1.2007399735640603,0.22985208293189763,0.5760439662850935,FIS1,broad,Excitatory_neurons,Control_vs_c9ALS
3149.989882168773,-0.04791123256527793,0.1681248108994622,-0.2849741945222386,0.7756639123396447,0.9279029724423892,NRF1,broad,Excitatory_neurons,Control_vs_c9ALS
3978.7576174092765,0.09885602675891193,0.1705182458074954,0.5797387035667392,0.5620908389814923,0.8368181426793054,TAX1BP1,broad,Excitatory_neurons,Control_vs_c9ALS
270.13822962368204,0.31144194013363524,0.3090151668686095,1.0078532496952084,0.3135249178615285,0.6615775484319962,FUNDC1,broad,Excitatory_neurons,Control_vs_c9ALS
1482.9492065896827,-0.22096711083287238,0.22068260669182097,-1.0012892005641783,0.3166870124382354,0.6640275449232679,LAMP2,broad,Excitatory_neurons,Control_vs_c9ALS
319.70287203843384,-0.14002768236938296,0.25626298176965767,-0.5464218101358355,0.5847760213429753,0.8483280718334618,RAB9A,broad,Excitatory_neurons,Control_vs_c9ALS
533.8548482162552,0.5093432868728957,0.31548341373136285,1.6144851510533176,0.10642223511185378,0.39677902144163696,SLC25A5,broad,Excitatory_neurons,Control_vs_c9ALS
2804.542716591043,-0.1662827539204312,0.23616394525114315,-0.7040988146755492,0.4813712382472891,0.7878375323666036,BNIP3L,broad,Excitatory_neurons,Control_vs_c9ALS
4295.251527243694,-0.21831017812968787,0.21287739678697692,-1.0255207054610285,0.30511756074595564,0.6544020108833204,RB1CC1,broad,Excitatory_neurons,Control_vs_c9ALS
1515.2939845873693,-0.2419811915039161,0.2417715925175463,-1.0008669297504609,0.3168911464804969,0.6640344442068735,C9orf72,broad,Excitatory_neurons,Control_vs_c9ALS
4463.50286319346,-0.029474389994242248,0.14057293584039757,-0.20967329036726254,0.8339226733391392,0.9497255925602613,UVRAG,broad,Excitatory_neurons,Control_vs_c9ALS
0.0,,,,,,CTSD,broad,Excitatory_neurons,Control_vs_c9ALS
1211.052689205133,0.2678356248204671,0.311199463365121,0.8606558055218224,0.38942764051635914,0.7238975853169557,NDUFV1,broad,Excitatory_neurons,Control_vs_c9ALS
1003.0764669894411,-0.10584486480278964,0.1773670660651515,-0.5967560221349667,0.5506702835321844,0.8302544288144834,ATG13,broad,Excitatory_neurons,Control_vs_c9ALS
326.4046424966441,-0.0810854209115932,0.2017652562266478,-0.4018799987075475,0.6877723433333645,0.8920815778445622,VPS11,broad,Excitatory_neurons,Control_vs_c9ALS
428.6828977075163,0.5521731275377714,0.21070607305967773,2.6205847772663904,0.008777910197337532,0.09962166554049849,TFAM,broad,Excitatory_neurons,Control_vs_c9ALS
707.483546094557,0.15832338025646736,0.2509250591684614,0.6309588240454499,0.5280674478314252,0.8172733619542452,PRDX3,broad,Excitatory_neurons,Control_vs_c9ALS
567.6227788901094,-0.0012589828864247865,0.19183065703841629,-0.006562991056078491,0.9947635283553223,0.9984493545204923,TIMM23,broad,Excitatory_neurons,Control_vs_c9ALS
1417.6406196131893,0.34153919154515894,0.2689024710005071,1.270122919564078,0.20404084867463446,0.5450709711880015,BNIP3,broad,Excitatory_neurons,Control_vs_c9ALS
4765.079437440296,0.08943145966570357,0.2298755378230263,0.3890429599975702,0.6972443672745922,0.8969491745368644,MICU1,broad,Excitatory_neurons,Control_vs_c9ALS
1829.9989841478043,-0.5496699467493138,0.36227146660508797,-1.517287441653551,0.12919412749978454,0.4363898458952956,MCU,broad,Excitatory_neurons,Control_vs_c9ALS
1983.5722688162132,0.34895889816267384,0.22056339884035736,1.5821251395171347,0.11362100563856764,0.4109356883634669,OPTN,broad,Excitatory_neurons,Control_vs_c9ALS
